Time (s),X (�T),Y (�T),Z (�T)
62.55434179,17.77724075,-7.352828979,-29.28805542
62.88479779,15.44830704,-8.607666016,-29.76071167
63.21525429,13.7991333,-12.70468903,-29.39328003
63.54571029,27.87887573,9.741111755,-18.57684326
63.87616629,17.58256149,22.01332092,-20.10198975
64.20662196,18.42385101,21.36170197,-19.65176392
64.53707796,19.14546967,19.62848663,-20.37734985
64.86753396,22.58670616,13.23896027,-20.37582397
65.19799292,24.974226,13.19097137,-18.15457153
65.52844892,26.21274948,12.85778809,-17.05166626
65.85890392,26.28908157,12.37542725,-17.00595093
66.18935708,25.65797424,13.21327209,-17.71466064
66.51981308,27.07843399,12.16231537,-18.48406982
66.85026808,27.39085388,10.36133575,-18.72897339
67.18072342,26.72418976,11.67176819,-19.02896118
67.51117842,28.67297745,9.924255371,-18.05831909
67.84163442,27.80534554,11.32458496,-18.99383545
68.17208921,26.01004791,12.29660034,-19.40655518
68.50254521,25.43445778,10.75613403,-21.22097778
68.83300021,25.67366409,10.97515869,-20.97720337
69.16345596,26.13790894,10.57048035,-19.77380371
69.49391096,26.96881485,9.867088318,-19.68774414
69.82436696,28.06630898,8.390182495,-19.04574585
70.15482196,29.13673401,8.114997864,-17.84701538
70.48527871,28.09243774,6.990943909,-18.6600647
70.81573271,25.28450775,-3.362678528,-21.3175354
71.14618771,27.4363842,-0.918037415,-19.83709717
71.47664133,27.88383102,-4.680122375,-18.67202759
71.80709533,24.45939636,-7.238212585,-21.96450806
72.13755033,25.0152626,-7.731292725,-20.64245605
72.46800858,25.70873642,-6.579193115,-20.52276611
72.79846258,23.87253761,-8.961486816,-21.65539551
73.12891758,23.07189369,-9.010971069,-22.92773438
73.45937258,23.00645065,-9.997817993,-22.46481323
73.78982658,22.94807243,-9.848403931,-22.29840088
74.12028158,20.7575531,-11.03501892,-23.52633667
74.45073271,9.587553978,-14.02059174,-27.42126465
74.78118771,22.43148613,24.67819977,-2.937194824
75.11164271,2.097679138,32.54935074,0.586303711
75.44209829,2.572086334,32.25015259,0.554656982
75.77255329,4.748491287,31.83603287,-0.894897461
76.10300829,3.262243271,32.1337738,0.313354492
76.43346342,2.586742401,32.25026703,0.339874268
76.76391742,2.535003662,32.28397369,1.799407959
77.09437242,0.086513519,32.43885803,2.12121582
77.42482646,-2.133398056,32.46808243,0.267730713
77.75528146,0.363563538,32.4105835,-0.168579102
78.08573646,0.371395111,32.02309418,-2.425048828
78.41619096,-0.325311661,31.74262619,-3.500091553
78.74664596,-5.131097794,32.25702667,1.884765625
79.07710096,-8.627649307,32.13322067,4.515686035
79.40755508,-10.68636513,31.83537674,2.484832764
79.73801008,-11.42954826,31.82538605,-1.930725098
80.06846508,-11.85572624,30.97750473,-6.987426758
80.39891921,-11.97202492,30.87533188,-8.151855469
80.72937421,-11.31217384,30.36508942,-8.407196045
81.05982821,-10.43092537,30.71421432,-8.31842041
81.39028317,-9.693208694,31.03100967,-8.351531982
81.72073817,-8.687772751,31.28544617,-7.98336792
82.05119217,-8.384296417,31.73268127,-8.156341553
82.38164829,-8.089998245,31.41834259,-7.951782227
82.71210229,-8.830072403,31.50605774,-8.086456299
83.04255729,-9.643444061,31.34332275,-8.60748291
83.37301083,-8.063379288,32.28123474,-7.573669434
83.70346583,10.27478695,24.65115356,-19.47625732
84.03392083,22.67551994,5.806549072,-21.57723999
84.36437567,24.84440041,1.661575317,-19.63937378
84.69482967,23.80250931,2.074775696,-20.32888794
85.02528367,21.34557724,2.918800354,-21.71185303
85.35573742,15.31682205,11.43772888,-24.94009399
85.68619142,10.35422802,17.45185852,-24.57162476
86.01664542,11.41085434,19.00358582,-22.09210205
86.34710029,17.51020432,31.16419601,-0.116699219
86.67755529,8.705817223,36.36815262,3.38470459
87.00800929,8.124939919,35.64667892,1.244110107
87.33846183,6.451395988,36.34596634,3.959228516
87.66891683,4.998516083,36.14117432,-0.042266846
87.99937083,3.80317688,35.44256973,-3.527069092
88.32982517,3.370861053,35.67766571,-3.938232422
88.66027917,4.721504211,35.70117188,-2.360992432
88.99073417,4.718057632,35.4799881,-2.406768799
89.32118879,4.118711472,36.0801239,-2.48248291
89.65164279,4.030038834,36.03284454,-1.551025391
89.98209679,4.107822418,35.97826385,-0.688140869
90.31255158,3.219944,36.48853683,1.064117432
90.64300558,2.615106583,36.03607178,-1.895355225
90.97345958,2.507669449,36.13832474,-1.672821045
91.30391654,2.111316681,36.40221405,-0.073547363
91.63437054,8.215007782,34.74609756,-3.455291748
91.96482554,22.28192902,26.13808441,-8.265411377
92.29527658,22.07576561,25.00486755,-10.131073
92.62573058,19.81120491,26.13137817,-11.85696411
92.95618558,17.93122673,25.98861694,-14.8125
93.28664242,13.81473064,26.46386719,-17.72906494
93.61709642,13.03329659,27.12138748,-16.88626099
93.94755042,13.63250542,27.12119293,-16.61688232
94.27800146,13.49392796,27.28553009,-15.70028687
94.60845646,20.74485588,22.44695282,-15.05575562
94.93891046,21.11073875,22.72335815,-15.11953735
95.26936367,16.27132607,24.91717529,-17.42919922
95.59981767,16.42311859,24.89204407,-16.93191528
95.93027167,15.13544941,26.11966705,-16.73144531
96.26072642,22.08548355,19.72836304,-16.58795166
96.59118042,22.29838371,18.53730774,-18.22122192
96.92163442,22.10359955,20.28497314,-16.53756714
97.25208833,22.2299633,21.16086578,-16.66552734
97.58254233,19.1246376,18.67071533,-21.82870483
97.91299633,18.66554451,19.64698029,-20.86950684
98.24345354,20.46074104,20.15368652,-18.59515381
