Time (s),X (µT),Y (µT),Z (µT)
36.27768875,-34.90996552,-10.92680359,15.01571655
36.60814575,-35.32466125,-10.13500214,13.14978027
36.93860312,-34.48041534,-11.36122131,15.63150024
37.26906113,-34.16059875,-12.28139496,13.90499878
37.59951813,-32.33863068,-16.42300415,13.2749939
37.92997417,-30.7549305,-20.32989502,11.64160156
38.26043117,-32.28816986,-17.97479248,12.35946655
38.59088817,-32.34107208,-15.48904419,16.84136963
38.92134488,-32.47488403,-15.65597534,17.04397583
39.25180188,-32.76738739,-14.6995697,17.05010986
39.58225788,-31.53871727,-18.16204071,13.92221069
39.91271829,-30.93528557,-19.20459747,14.74514771
40.24317429,-32.10397339,-17.50939178,12.75741577
40.57363129,-31.56671333,-19.99393463,6.041229248
40.904084,-29.12961388,19.55144501,12.95428467
41.234541,-17.38608742,30.78330994,4.788787842
41.564997,-15.57084084,31.49144363,1.874694824
41.89545275,-24.98853493,25.74723816,1.546081543
42.22590975,-29.47957039,21.24284363,1.270904541
42.55636575,-29.76417732,19.9662323,1.720672607
42.88682175,-28.63997841,21.18668365,12.78225708
43.21727875,-20.81773186,30.05636978,6.660552979
43.54773475,-20.82055855,30.47348404,5.830963135
43.87819129,-21.52753258,29.96889114,5.120910645
44.20864729,-19.89950371,30.70320892,4.022033691
44.53910329,-21.27876854,29.75772095,3.840606689
44.86955788,-21.89229774,29.96229172,5.571502686
45.20001388,-23.63325691,28.47333908,7.202514648
45.53046988,-24.75871468,27.533638,9.05770874
45.86092617,-28.90934181,23.42540741,1.25869751
46.19138217,-29.7373867,19.24402618,-5.506103516
46.52183817,-26.73010063,25.508461,9.733093262
46.85229413,-23.88742256,28.12712097,7.832122803
47.18274913,-23.14426231,28.98945999,5.551147461
47.51320513,-23.97433281,28.1374054,4.843200684
47.84366029,-28.02499199,24.84107208,5.547210693
48.17411629,-29.13973808,22.57541656,9.006286621
48.50457229,-29.94811821,21.97389984,9.486755371
48.83502838,-29.67684746,21.82329559,8.467712402
49.16548438,-31.61244774,19.43360138,8.492401123
49.49594037,-33.49217224,16.51139069,8.599517822
49.82639687,-33.89259338,16.69104004,9.342773438
50.15685288,-38.74581909,5.072967529,6.01852417
50.48730888,-38.95658875,1.844268799,8.927825928
50.81776454,-39.87412262,-2.931266785,8.313537598
51.14822054,-38.61740875,-9.632774353,7.773223877
51.47867554,-38.25811005,-10.18666077,8.564605713
51.80913154,-38.00920105,-9.783706665,7.750244141
52.13958754,-38.36779022,-9.23651123,6.63180542
52.47004254,-38.3216095,-9.249397278,6.505249023
52.80049837,-38.21522522,-10.02998352,6.105529785
53.13095338,-37.96473694,-12.02856445,5.514221191
53.46140938,-37.3176651,-14.63853455,5.417236328
53.79186525,-31.97321892,20.56913757,-4.67175293
54.12232125,-35.19186401,16.69348145,-3.061309814
54.45277725,-36.45735168,14.05893707,-3.258056641
54.78323325,-36.27134705,13.16126251,-4.907714844
55.11368925,-38.75984955,5.299819946,-6.562408447
55.44414425,-39.8403244,0.729667664,-4.797668457
55.77460075,-39.98534393,-0.568031311,-2.395507813
56.10505675,-40.23995209,-5.020065308,0.699981689
56.43551175,-38.92470551,-10.98938751,-0.263061523
56.76596625,-38.17098999,-13.74051666,0.574493408
57.09642225,-39.13008118,-12.97737885,4.050323486
57.42687825,-38.12899017,-15.85258484,8.940704346
57.75733263,-36.71551514,-16.91143799,13.25085449
58.08778863,-35.87226105,-16.54273224,15.71960449
58.41824563,-37.49462128,-13.45753479,13.73034668
58.74870238,-35.44509125,-18.89414215,9.376647949
